,student_id,checkpoint_no,duration,confidence,year,percentage_checkpoint,no_attempt,average_attempt,office_hours,is_passed
2551,31846,16,1.0,8,1,0.6666666666666666,0,1.4,1,1
2552,82536,16,4.0,8,3,0.625,0,1.2666666666666666,0,0
2553,84281,16,,4,3,0.625,0,1.1333333333333333,0,0
2554,80427,16,3.0,5,2,0.5,0,1.75,0,0
2555,22902,16,2.0,8,1,0.7916666666666666,1,2.0,1,0
2556,80726,16,3.0,7,1,0.2916666666666667,0,1.2857142857142858,0,0
2557,52262,16,-1.0,-1,-1,0.625,0,1.7333333333333334,3,0
2558,93335,16,3.0,7,3,0.5416666666666666,0,1.3076923076923077,0,0
2559,88774,16,1.0,9,1,0.625,0,1.2666666666666666,0,0
2560,72329,16,3.0,7,2,0.625,1,1.8,0,0
2561,80427,16,3.0,5,2,0.5416666666666666,1,1.75,0,1
2562,72329,16,3.0,7,2,0.625,2,1.8,0,0
2563,93335,16,3.0,7,3,0.5833333333333334,1,1.3076923076923077,0,1
2564,96812,16,-1.0,-1,-1,0.4166666666666667,1,1.2222222222222223,0,1
2565,72329,16,3.0,7,2,0.6666666666666666,3,1.8,0,1
2566,52262,16,-1.0,-1,-1,0.6666666666666666,1,1.7333333333333334,4,1
2567,90795,16,-1.0,-1,-1,0.5416666666666666,1,1.9166666666666667,0,1
2568,80726,16,3.0,7,1,0.2916666666666667,1,1.2857142857142858,0,0
2569,22902,16,2.0,8,1,0.7916666666666666,2,2.0526315789473686,1,1
2570,93871,17,2.0,2,2,0.7083333333333334,0,1.1875,0,1
2571,72329,17,3.0,7,2,0.6666666666666666,0,1.9375,0,0
2572,87728,17,5.0,7,2,0.7083333333333334,0,1.1875,0,1
2573,95538,17,-1.0,-1,-1,0.7083333333333334,0,1.125,0,1
2574,20020,17,-1.0,-1,-1,0.7083333333333334,0,1.125,2,1
2575,80450,17,1.0,7,4,0.6666666666666666,0,1.125,0,0
2576,27689,17,3.0,6,2,0.7083333333333334,0,1.5,0,1
2577,60320,17,3.0,6,1,0.5416666666666666,0,1.3333333333333333,0,1
2578,31208,17,-1.0,-1,-1,0.7083333333333334,0,1.875,1,1
2579,90795,17,-1.0,-1,-1,0.5416666666666666,0,1.9230769230769231,0,0
2580,31846,17,1.0,8,1,0.7083333333333334,0,1.375,1,1
2581,48825,17,,7,1,0.4583333333333333,0,1.0,0,1
2582,69983,17,,8,1,0.625,0,1.1428571428571428,0,1
2583,93570,17,-1.0,-1,-1,0.6666666666666666,0,1.4,2,1
2584,82536,17,4.0,8,3,0.6666666666666666,0,1.2666666666666666,0,1
2585,84281,17,,4,3,0.6666666666666666,0,1.1333333333333333,0,1
2586,12461,17,,10,1,0.7083333333333334,0,1.3125,0,1
2587,30574,17,4.0,10,2,0.5833333333333334,0,1.1538461538461537,0,1
2588,93335,17,3.0,7,3,0.625,0,1.3571428571428572,0,1
2589,75538,17,1.0,8,1,0.5833333333333334,0,1.5714285714285714,0,0
2590,52262,17,-1.0,-1,-1,0.6666666666666666,0,1.75,3,0
2591,59566,17,-1.0,-1,-1,0.6666666666666666,0,1.2,1,1
2592,80427,17,3.0,5,2,0.5416666666666666,0,1.7692307692307692,0,0
2593,72329,17,3.0,7,2,0.7083333333333334,1,1.9375,0,1
2594,80427,17,3.0,5,2,0.5416666666666666,1,1.7692307692307692,0,0
2595,90795,17,-1.0,-1,-1,0.5833333333333334,1,1.9230769230769231,0,1
2596,52262,17,-1.0,-1,-1,0.6666666666666666,1,1.75,4,0
2597,75538,17,1.0,8,1,0.625,1,1.5714285714285714,0,1
2598,20020,18,-1.0,-1,-1,0.75,0,1.1176470588235294,2,1
2599,31208,18,-1.0,-1,-1,0.7083333333333334,0,1.8235294117647058,1,0
2600,93871,18,2.0,2,2,0.75,0,1.1764705882352942,0,1
2601,95538,18,-1.0,-1,-1,0.75,0,1.1176470588235294,0,1
2602,90795,18,-1.0,-1,-1,0.5833333333333334,0,1.9285714285714286,0,0
2603,87728,18,5.0,7,2,0.7083333333333334,0,1.1764705882352942,0,0
2604,69983,18,,8,1,0.6666666666666666,0,1.1333333333333333,0,1
2605,72329,18,3.0,7,2,0.75,0,1.9411764705882353,0,1
2606,96812,18,-1.0,-1,-1,0.4166666666666667,0,1.3,0,0
2607,93570,18,-1.0,-1,-1,0.7083333333333334,0,1.375,2,1
2608,80450,18,1.0,7,4,0.7083333333333334,0,1.125,0,1
2609,27689,18,3.0,6,2,0.75,0,1.4705882352941178,0,1
2610,60320,18,3.0,6,1,0.5833333333333334,0,1.3076923076923077,0,1
2611,82536,18,4.0,8,3,0.7083333333333334,0,1.25,0,1
2612,93335,18,3.0,7,3,0.6666666666666666,0,1.3333333333333333,0,1
2613,75538,18,1.0,8,1,0.6666666666666666,0,1.6,0,1
2614,59566,18,-1.0,-1,-1,0.6666666666666666,0,1.1875,1,0
2615,12461,18,,10,1,0.75,0,1.2941176470588236,0,1
2616,84281,18,,4,3,0.7083333333333334,0,1.125,0,1
2617,88774,18,1.0,9,1,0.6666666666666666,0,1.2666666666666666,0,1
2618,52262,18,-1.0,-1,-1,0.6666666666666666,0,1.75,3,0
2619,31846,18,1.0,8,1,0.7083333333333334,0,1.3529411764705883,1,0
2620,30574,18,4.0,10,2,0.5833333333333334,0,1.1428571428571428,0,0
2621,22902,18,2.0,8,1,0.8333333333333334,1,2.1052631578947367,1,1
2622,80427,18,3.0,5,2,0.5416666666666666,0,1.7692307692307692,0,0
2623,48825,18,,7,1,0.5,0,1.0,0,1
2624,31208,18,-1.0,-1,-1,0.75,1,1.8235294117647058,1,1
2625,87728,18,5.0,7,2,0.7083333333333334,1,1.1764705882352942,0,0
2626,90795,18,-1.0,-1,-1,0.5833333333333334,1,1.9285714285714286,0,0
2627,87728,18,5.0,7,2,0.7083333333333334,2,1.1764705882352942,0,0
2628,80427,18,3.0,5,2,0.5833333333333334,1,1.7692307692307692,0,1
2629,52262,18,-1.0,-1,-1,0.6666666666666666,1,1.75,4,0
2630,93871,19,2.0,2,2,0.7916666666666666,0,1.1666666666666667,0,1
2631,72329,19,3.0,7,2,0.7916666666666666,0,1.8888888888888888,0,1
2632,95538,19,-1.0,-1,-1,0.7916666666666666,0,1.1111111111111112,0,1
2633,80726,19,3.0,7,1,0.2916666666666667,0,1.2857142857142858,0,0
2634,20020,19,-1.0,-1,-1,0.75,0,1.1111111111111112,2,0
2635,93570,19,-1.0,-1,-1,0.7083333333333334,0,1.3529411764705883,2,0
2636,87728,19,5.0,7,2,0.75,0,1.1764705882352942,0,1
2637,31208,19,-1.0,-1,-1,0.7916666666666666,0,1.8333333333333333,1,1
2638,31846,19,1.0,8,1,0.75,0,1.3529411764705883,2,1
2639,96812,19,-1.0,-1,-1,0.4166666666666667,0,1.3,0,0
2640,69983,19,,8,1,0.7083333333333334,0,1.125,0,1
2641,80450,19,1.0,7,4,0.7083333333333334,0,1.1176470588235294,0,0
2642,14313,19,2.0,8,2,0.5416666666666666,0,1.2307692307692308,0,0
2643,59566,19,-1.0,-1,-1,0.6666666666666666,0,1.1875,1,0
2644,90795,19,-1.0,-1,-1,0.5833333333333334,0,1.9285714285714286,0,0
2645,88774,19,1.0,9,1,0.6666666666666666,0,1.25,0,0
2646,12461,19,,10,1,0.7916666666666666,0,1.2777777777777777,0,1
2647,82536,19,4.0,8,3,0.75,0,1.2352941176470589,0,1
